,sna,tot,sbi,sarea,mday,ar,bemp,act
132,YouBike2.0_敦親公園,20,0,大安區,2023-06-03 09:21:04,和平東路二段96巷8之1號(前方),20,1
133,YouBike2.0_大安運動中心,27,0,大安區,2023-06-03 08:35:04,辛亥路三段55號前方人行道(大安運動中心),27,1
134,YouBike2.0_和平敦化路口,25,1,大安區,2023-06-03 09:30:28,和平東路三段 / 敦化南路二段口(東側),24,1
136,YouBike2.0_仁愛路四段122巷口,16,4,大安區,2023-06-03 09:22:14,仁愛路四段118號前,12,1
137,YouBike2.0_市民敦化路口,15,0,大安區,2023-06-03 09:00:46,敦化南路一段111號前,15,1
138,YouBike2.0_忠孝東路四段49巷口,15,0,大安區,2023-06-03 09:21:04,忠孝東路四段55號前,14,1
139,YouBike2.0_市民復興路口(東南側),16,0,大安區,2023-06-03 09:19:04,市民大道四段/復興路一段口(東南側),16,1
140,YouBike2.0_和平新生路口西南側,13,2,大安區,2023-06-03 09:21:21,新生南路三段2號前,11,1
141,YouBike2.0_全安公園,16,3,大安區,2023-06-03 09:28:13,安和路二段227巷16號對側,13,1
142,YouBike2.0_信義路三段134巷口,19,1,大安區,2023-06-03 09:14:14,信義路三段/信義路三段134巷口,18,1
143,YouBike2.0_仁愛敦南圓環(東南側),16,1,大安區,2023-06-03 09:29:14,仁愛路四段110號前,14,1
145,YouBike2.0_外交部外交及國際事務學院,17,4,大安區,2023-06-03 09:28:13,敦化南路一段280號,13,1
146,YouBike2.0_四維路170巷口,22,1,大安區,2023-06-03 09:31:14,敦化南路二段92號對側中央分隔島,20,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,4,大安區,2023-06-03 09:31:14,羅斯福路三段201號旁,27,1
149,YouBike2.0_信義路四段199巷,15,0,大安區,2023-06-03 09:25:04,信義路四段199巷/安和路一段90巷口,15,1
150,YouBike2.0_臺大資訊大樓,40,3,大安區,2023-06-03 09:31:14,辛亥路二段(臺大外語學院外),37,1
152,YouBike2.0_原臺北刑務所官舍,23,3,大安區,2023-06-03 09:22:14,金華街78號對側,20,1
153,YouBike2.0_捷運國父紀念館站(1號出口),25,0,大安區,2023-06-03 09:21:04,光復南路200巷26號東側,25,1
154,YouBike2.0_懷生國中,15,2,大安區,2023-06-03 09:19:14,忠孝東路三段248巷30號,13,1
156,YouBike2.0_立人國小,17,3,大安區,2023-06-03 09:31:14,安和路二段/敦化南路二段81巷(西南側),14,1
157,YouBike2.0_和平東路二段18巷口,24,1,大安區,2023-06-03 09:13:14,辛亥路二段43號前,22,1
158,YouBike2.0_捷運大安站(5號出口),19,2,大安區,2023-06-03 09:16:14,復興南路二段/信義路四段(東南側),15,1
159,YouBike2.0_臨江公園,13,0,大安區,2023-06-03 08:27:04,通化街143巷33號對側,13,1
161,YouBike2.0_忠孝東路四段248巷口,15,0,大安區,2023-06-03 09:17:16,忠孝東路四段230號前,15,1
162,YouBike2.0_仁愛延吉路口(西北側),18,1,大安區,2023-06-03 08:49:14,仁愛路四段363號前,17,1
163,YouBike2.0_樂利路101巷口,13,1,大安區,2023-06-03 09:14:14,樂利路97號前,12,1
165,YouBike2.0_敦化南路一段295巷口,18,2,大安區,2023-06-03 09:27:13,敦化南路一段295巷1號,15,1
167,YouBike2.0_臺北市立圖書館大同分館,20,1,大同區,2023-06-03 09:30:28,重慶北路三段318號旁,19,1
170,YouBike2.0_重慶酒泉街口,30,0,大同區,2023-06-03 09:12:04,重慶北路三段260號前,30,1
172,YouBike2.0_陳天來故居,18,4,大同區,2023-06-03 09:28:13,西寧北路112號前方,14,1
173,YouBike2.0_臺北孔廟,27,3,大同區,2023-06-03 09:26:14,哈密街61號口對側人行道,24,1
175,YouBike2.0_酒泉延平路口,26,1,大同區,2023-06-03 08:51:14,酒泉街235號前,25,1
176,YouBike2.0_重慶國中,37,6,大同區,2023-06-03 08:55:21,敦煌路19號前,31,1
177,YouBike2.0_重慶北路三段383巷口,25,2,大同區,2023-06-03 09:21:21,敦煌路與重慶北路三段383巷口,23,1
179,YouBike2.0_民權延平路口(西北側),20,1,大同區,2023-06-03 09:31:14,民權西路239號前方,19,1
181,YouBike2.0_大稻埕公園,25,4,大同區,2023-06-03 09:26:14,安西街1巷7號(對側),21,1
183,YouBike2.0_大龍峒社會住宅,20,5,大同區,2023-06-03 09:31:14,承德路三段210號旁,15,1
184,YouBike2.0_捷運大橋頭站(2號出口),57,0,大同區,2023-06-03 09:14:04,捷運大橋頭站(2號出口)西側,57,1
185,YouBike2.0_捷運大橋頭站(1A出口),18,1,大同區,2023-06-03 09:30:28,民權西路237號旁,17,1
186,YouBike2.0_捷運民權西路站(2號出口),25,2,大同區,2023-06-03 09:25:14,捷運民權西路站(2號出口)西側,23,1
188,YouBike2.0_捷運北門站(3號出口),62,4,大同區,2023-06-03 09:31:14,塔城街與鄭州路口西南側,58,1
189,YouBike2.0_朝陽公園,10,0,大同區,2023-06-03 09:28:04,重慶北路二段62-1號旁,10,1
191,YouBike2.0_大龍公園,18,5,大同區,2023-06-03 09:21:21,大龍街217號對側,13,1
192,YouBike2.0_重慶涼州街口,13,1,大同區,2023-06-03 08:39:14,重慶北路二段180號旁,11,1
194,YouBike2.0_圓環站,28,3,大同區,2023-06-03 09:21:21,重慶北路一段128號前,25,1
195,YouBike2.0_重慶民族路口,20,3,大同區,2023-06-03 09:28:13,重慶北路三段162號前,16,1
196,YouBike2.0_承德路三段8巷口,16,3,大同區,2023-06-03 09:19:14,承德路三段14號前,13,1
199,YouBike2.0_聯合醫院中興院區,27,1,大同區,2023-06-03 09:30:40,長安西路299號(對面),26,1
203,YouBike2.0_重慶保安街口(家樂福重慶店),20,1,大同區,2023-06-03 09:17:16,重慶北路二段171號(旁),19,1
205,YouBike2.0_歸綏戲曲公園,20,5,大同區,2023-06-03 09:21:21,重慶北路二段/歸綏街口(南側),15,1
206,YouBike2.0_民權國中(民權西路),17,0,大同區,2023-06-03 09:29:04,民權西路/蘭州街(西側),17,1
207,YouBike2.0_承德民權路口,17,5,大同區,2023-06-03 09:19:14,承德路二段239號前,12,1
208,YouBike2.0_南京太原路口,18,0,大同區,2023-06-03 09:29:04,南京西路/太原路(東側),18,1
209,YouBike2.0_承德民生西路口,11,2,大同區,2023-06-03 09:21:04,承德路二段137號前,9,1
210,YouBike2.0_太原五原路口,24,1,大同區,2023-06-03 09:30:40,太原路 / 五原路口(東南側),23,1
212,YouBike2.0_捷運民權西路站(3號出口),50,2,大同區,2023-06-03 09:23:14,民權西路70巷37號對面,48,1
213,YouBike2.0_捷運中山站(5號出口),11,6,大同區,2023-06-03 09:29:14,南京西路57號前,5,1
214,YouBike2.0_重慶長安路口,15,1,大同區,2023-06-03 09:31:14,長安西路244號(重慶路側),14,1
216,YouBike2.0_大同16號廣場,14,0,大同區,2023-06-03 03:58:04,環河北路一段/民生西路口(東南側),14,1
219,YouBike2.0_承德鄭州路口(市民高架下),38,5,大同區,2023-06-03 09:01:14,承德路一段/鄭州路口(市民高架下),33,1
220,YouBike2.0_成淵高中,14,0,大同區,2023-06-03 09:30:40,錦西街與錦西街52巷口東北側,14,1
221,YouBike2.0_雙蓮國小,20,4,大同區,2023-06-03 09:30:40,民權西路102巷4弄25號對側人行道,16,1
228,YouBike2.0_雨聲街165巷口,15,2,士林區,2023-06-03 08:08:13,雨聲街/雨聲街165巷(西北側),13,1
232,YouBike2.0_臺北市立大學(天母校區),23,3,士林區,2023-06-03 09:29:14,士東路276號至280號對面人行道,19,1
233,YouBike2.0_忠誠路二段53巷,18,6,士林區,2023-06-03 09:30:40,忠誠路2段53巷7號(對面),12,1
235,YouBike2.0_天母北天玉街口,15,0,士林區,2023-06-03 09:15:04,天母北路33號(前),15,1
239,YouBike2.0_忠誠路一段173巷口,11,2,士林區,2023-06-03 09:21:21,忠誠路一段177號(前),9,1
241,YouBike2.0_忠誠公園,14,4,士林區,2023-06-03 09:26:14,忠誠路一段18號(對面),10,1
243,YouBike2.0_至誠路一段305巷口,21,0,士林區,2023-06-03 09:24:04,至誠路一段303號(對面),21,1
246,YouBike2.0_華齡街185巷口,12,5,士林區,2023-06-03 09:29:14,華齡街188號(前),6,1
248,YouBike2.0_百齡高中,15,4,士林區,2023-06-03 09:25:14,承德路四段179巷/承德路4段口,11,1
249,YouBike2.0_捷運芝山站(2號出口),21,6,士林區,2023-06-03 09:28:13,福華路151號(對面),15,1
251,YouBike2.0_捷運劍潭站(2號出口),79,4,士林區,2023-06-03 09:28:04,基河路18號(對面),73,1
258,YouBike2.0_兒童新樂園,23,0,士林區,2023-06-03 09:08:04,承德路五段55號(旁公車亭),23,1
260,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,華聲街17號(南側路側),27,0
261,YouBike2.0_福林公園,17,6,士林區,2023-06-03 09:21:21,福林路/中山北路五段(東北側),11,1
263,YouBike2.0_銘傳大學,30,0,士林區,2023-05-31 09:39:15,中山北路五段250號(銘傳大學對側),29,0
264,YouBike2.0_士林高商,26,5,士林區,2023-06-03 09:12:14,士商路150號(校門旁),21,1
266,YouBike2.0_聯合醫院陽明院區,15,6,士林區,2023-06-03 08:28:15,雨聲街105號(南側),9,1
267,YouBike2.0_捷運芝山站(1號出口),36,4,士林區,2023-06-03 09:22:14,福華路114號(對面),32,1
268,YouBike2.0_至誠公園,15,4,士林區,2023-06-03 09:02:14,至誠路一段80號(對面),11,1
269,YouBike2.0_原住民文化主題公園,21,2,士林區,2023-06-03 09:01:14,至善路二段280號(對面),19,1
271,YouBike2.0_梅林新村,15,4,士林區,2023-06-03 08:31:14,至善路一段/至善路一段138巷(北側),11,1
273,YouBike2.0_重慶北路四段190巷口,13,5,士林區,2023-06-03 08:26:14,重慶北路四段198號(前),8,1
274,YouBike2.0_重慶北葫東街口,15,3,士林區,2023-06-03 09:17:25,重慶北路四段177號(前),12,1
276,YouBike2.0_士林3號廣場,30,3,士林區,2023-06-03 09:28:13,中山北路六段81號(旁),27,1
278,YouBike2.0_社子國小,15,5,士林區,2023-06-03 09:10:20,社中街476號(對面),10,1
281,YouBike2.0_社子公園,14,5,士林區,2023-06-03 09:09:14,永平街20巷37弄/永平街20巷11弄(社子公園南側),9,1
283,YouBike2.0_泰北高中,16,6,士林區,2023-06-03 09:24:14,福林路240號(前),10,1
285,YouBike2.0_重慶北路四段117號,18,5,士林區,2023-06-03 09:03:13,重慶北路四段117號(前),13,1
286,YouBike2.0_社子島島頭公園,15,0,士林區,2023-06-03 07:49:04,延平北路九段323號(後方堤外),15,1
290,YouBike2.0_福安國中,11,4,士林區,2023-06-03 07:53:14,延平北路七段250號(前),6,1
291,YouBike2.0_福安消防分隊,15,0,士林區,2023-06-03 08:54:04,延平北路七段42之7號(對面),15,1
295,YouBike2.0_蘭雅國小,27,5,士林區,2023-06-03 09:28:13,礦溪街與中山北路六段195巷口,22,1
300,YouBike2.0_東山路110巷口,16,0,士林區,2023-06-03 08:34:04,東山路114號對側,16,1
304,YouBike2.0_芝山聖佑宮,15,5,士林區,2023-06-03 07:34:14,雨聲街90號旁,10,1
305,YouBike2.0_至誠雨聲街口,9,5,士林區,2023-06-03 09:29:14,至誠路二段與雨聲街口東北側,4,1
306,YouBike2.0_捷運線型公園(後街),13,0,士林區,2023-06-03 09:21:04,後街15號旁,13,1
307,YouBike2.0_天母公園,12,1,士林區,2023-06-03 09:16:14,中山北路七段141巷30號對側,11,1
308,YouBike2.0_基河文林路口,16,3,士林區,2023-06-03 09:21:21,基河路3-1號對側人行道,13,1
311,YouBike2.0_社子國小_1,20,2,士林區,2023-06-03 09:30:40,延平北路六段/社中街(社子國小對面跨提便道橋下),18,1
313,YouBike2.0_德行東山路口,12,6,士林區,2023-06-03 09:00:57,德行東路/東山路(西北側),6,1
314,YouBike2.0_重慶北通河西街口,12,2,士林區,2023-06-03 07:56:16,重慶北路四段276號(前),10,1
315,YouBike2.0_葫蘆國小(延平北路五段285巷),15,3,士林區,2023-06-03 09:06:14,環河北路三段/延平北路五段285巷,12,1
317,YouBike2.0_士林區農會社子分部,8,5,士林區,2023-06-03 08:45:14,社子街162號旁,3,1
318,YouBike2.0_承德劍潭路口,19,4,士林區,2023-06-03 09:23:14,承德路四段與劍潭路口西側,15,1
319,YouBike2.0_文林路101巷口,7,1,士林區,2023-06-03 08:29:14,文林路100號前,6,1
320,YouBike2.0_延平北路五段257巷15弄口,13,5,士林區,2023-06-03 09:26:14,葫蘆街184號對側,5,1
321,YouBike2.0_延平北路五段257巷4弄口,15,4,士林區,2023-06-03 09:04:14,延平北路五段257巷17號前,11,1
323,YouBike2.0_中山福國路口,14,0,士林區,2023-05-29 11:56:14,中山北路五段837號前,14,0
324,YouBike2.0_德行公園,14,4,士林區,2023-06-03 09:24:14,德行西路33號對側,10,1
327,YouBike2.0_捷運士林站(1號出口),38,6,士林區,2023-06-03 09:26:14,中正路236巷/中正路口,31,1
330,YouBike2.0_海光公園南側,12,2,士林區,2023-06-03 08:48:04,葫蘆街79號對側公園,10,1
332,YouBike2.0_劍潭郵局,16,4,士林區,2023-06-03 09:13:14,基河路/承德路四段77巷口(捷運橋下),12,1
334,YouBike2.0_美崙公園,13,3,士林區,2023-06-03 09:23:14,美崙街118號斜對面人行道,9,1
335,YouBike2.0_臺北市立大學(忠誠路二段207巷),17,5,士林區,2023-06-03 09:05:04,忠誠路二段207巷/士東路299巷口,12,1
339,YouBike2.0_捷運萬隆站(4號出口),21,3,文山區,2023-06-03 09:21:21,羅斯福路5段210號(前),18,1
342,YouBike2.0_捷運萬隆站(2號出口),12,6,文山區,2023-06-03 09:29:14,興隆路一段70巷/羅斯福路5段211巷26弄口,6,1
350,YouBike2.0_景美運動公園,11,6,文山區,2023-06-03 09:26:14,景豐街79號(旁公園),4,1
351,YouBike2.0_景美醫院,18,1,文山區,2023-06-03 09:24:14,羅斯福路六段280號(前),17,1
353,YouBike2.0_景華街128巷口,20,2,文山區,2023-06-03 09:30:40,景華街124號(旁汽車格),18,1
354,YouBike2.0_仙跡岩登山口(景興路),22,6,文山區,2023-06-03 09:26:14,景興街239號(前),16,1
356,YouBike2.0_捷運動物園站,18,3,文山區,2023-06-03 09:02:14,新光路二段30號(對面),15,1
357,YouBike2.0_捷運木柵站,31,3,文山區,2023-06-03 09:22:14,木柵路四段82巷18號前(捷運橋樑下),28,1
358,YouBike2.0_捷運萬芳社區站,31,0,文山區,2023-06-03 09:14:04,萬芳路60號(西側廣場),31,1
360,YouBike2.0_捷運辛亥站,29,2,文山區,2023-06-03 09:30:40,辛亥路四段114號(旁人行道),27,1
364,YouBike2.0_和興路26巷口,15,2,文山區,2023-06-03 09:12:14,和興路44巷 / 和興路26巷口,13,1
366,YouBike2.0_一壽橋,16,5,文山區,2023-06-03 09:13:14,樟新街64號前方,11,1
368,YouBike2.0_永安藝文館-表演36房,15,4,文山區,2023-06-03 09:21:21,木新路二段156號前人行道(永安市場),11,1
369,YouBike2.0_忠順區民活動中心,15,6,文山區,2023-06-03 09:00:57,忠順街二段22號前方人行道(忠順區民活動中心),9,1
372,YouBike2.0_文山行政中心,18,6,文山區,2023-06-03 09:05:14,木柵路三段220號(前),12,1
375,YouBike2.0_木新路3段95巷口,16,0,文山區,2023-06-03 09:13:04,木新路三段95巷30號(對面),16,1
376,YouBike2.0_樟腳里公園,15,5,文山區,2023-06-03 09:28:13,木新路二段299巷15號(旁),10,1
378,YouBike2.0_指南路3段2巷,13,6,文山區,2023-06-03 09:26:14,指南路三段4號(旁),7,1
379,YouBike2.0_萊茵公園,14,6,文山區,2023-06-03 08:47:14,忠順街二段87巷25弄29號,8,1
381,YouBike2.0_秀明路一段185巷口,20,0,文山區,2023-06-03 09:12:04,秀明路一段與秀明路一段185巷口,20,1
382,YouBike2.0_秀明路一段129巷口,22,1,文山區,2023-06-03 09:23:14,秀明路一段129巷與秀明路一段路口,21,1
383,YouBike2.0_恆光橋(老泉街),13,3,文山區,2023-06-03 09:14:14,老泉街/恆光街口,10,1
384,YouBike2.0_萬有3號公園,14,1,文山區,2023-06-03 09:30:40,景隆街105號(對面),13,1
387,YouBike2.0_辛亥生態公園,18,1,文山區,2023-06-03 09:05:04,辛亥路四段199號,17,1
388,YouBike2.0_博嘉運動公園,12,2,文山區,2023-06-03 08:41:14,木柵路四段159巷16號,10,1
390,YouBike2.0_仙岩公園,11,5,文山區,2023-06-03 09:21:21,仙岩路16巷37號旁,6,1
394,YouBike2.0_海巡署(南側),10,2,文山區,2023-06-03 08:34:14,興隆路三段211號對側(公車亭後),8,1
395,YouBike2.0_明道國小東南側,18,5,文山區,2023-06-03 08:15:16,興隆路四段109巷116號對側,13,1
396,YouBike2.0_木南公園,12,0,文山區,2023-06-03 09:02:04,木新路二段永安街22巷口,12,1
398,YouBike2.0_師範大學公館校區_1,25,4,文山區,2023-06-03 09:07:13,師大公館校區校門口(汀州路側),21,1
400,YouBike2.0_政大水岸電梯,10,3,文山區,2023-06-03 09:21:21,政治大學水岸電梯旁,7,1
402,YouBike2.0_辛亥路五段73巷口,13,4,文山區,2023-06-03 08:11:15,辛亥路五段75-1號前人行道,9,1
403,YouBike2.0_景美污水抽水站,15,5,文山區,2023-06-03 09:21:21,汀州路四段10號北側人行道,10,1
411,YouBike2.0_景興路42巷口,12,3,文山區,2023-06-03 09:30:40,景興路42巷與景興路口西南側,9,1
412,YouBike2.0_木柵路三段48巷,15,5,文山區,2023-06-03 09:23:14,木柵路三段48巷1弄口,10,1
413,YouBike2.0_木柵路二段109巷,15,3,文山區,2023-06-03 09:19:14,木柵路二段109巷14號旁,12,1
414,YouBike2.0_試院公園,15,4,文山區,2023-06-03 09:17:25,木柵路一段59巷29號對側,11,1
415,YouBike2.0_萬美萬安街口,16,0,文山區,2023-06-03 07:42:03,萬美街一段/萬安街口,16,1
417,YouBike2.0_新光秀明路口,15,3,文山區,2023-06-03 09:30:40,新光路一段145號前,12,1
418,YouBike2.0_臺北自來水事業處,20,2,中正區,2023-06-03 09:25:14,思源街1號東側,18,1
420,YouBike2.0_捷運公館站(1號出口),12,1,中正區,2023-06-03 09:31:14,羅斯福路四段68號,11,1
421,YouBike2.0_捷運公館站(4號出口),12,3,中正區,2023-06-03 09:31:14,羅斯福路四段48號,9,1
424,YouBike2.0_捷運臺電大樓站(1號出口),34,1,中正區,2023-06-03 09:30:28,辛亥路一段/羅斯福路三段南側,33,1
425,YouBike2.0_客家文化主題公園,15,5,中正區,2023-06-03 09:29:14,師大路/金門街11巷口對側人行道,9,1
427,YouBike2.0_紀州庵,25,4,中正區,2023-06-03 09:29:14,水源路/同安街口(東側),21,1
428,YouBike2.0_捷運臺電大樓站(5號出口),14,3,中正區,2023-06-03 09:30:40,羅斯福路三段126號前,11,1
429,YouBike2.0_捷運臺電大樓站(4號出口),13,1,中正區,2023-06-03 09:30:40,師大路/羅斯福路三段西側,12,1
433,YouBike2.0_捷運古亭站(7號出口),12,6,中正區,2023-06-03 09:29:14,羅斯福路二段44號前方,6,1
434,YouBike2.0_南昌公園,41,5,中正區,2023-06-03 09:27:13,和平西路一段與南昌路二段口西北側,36,1
437,YouBike2.0_羅斯福路二段6巷口,14,4,中正區,2023-06-03 09:26:14,羅斯福路二段/羅斯福路二段6巷口,10,1
439,YouBike2.0_捷運中正紀念堂站(3號出口),18,0,中正區,2023-06-03 09:25:04,金華街17號前方,18,1
440,YouBike2.0_捷運中正紀念堂站(4號出口),21,4,中正區,2023-06-03 09:30:40,羅斯福路一段5號前方,16,1
444,YouBike2.0_永昌公園,15,4,中正區,2023-06-03 09:26:14,詔安街224號前,11,1
445,YouBike2.0_中華路二段409巷口,15,6,中正區,2023-06-03 08:36:15,中華路二段403號前,6,1
452,YouBike2.0_介壽公園,23,2,中正區,2023-06-03 09:02:14,貴陽街懷寧街口(東北側),20,1
453,YouBike2.0_中華貴陽街口,20,2,中正區,2023-06-03 08:48:14,貴陽街一段243之1號(前),18,1
454,YouBike2.0_華山文創園區,39,6,中正區,2023-06-03 09:29:14,忠孝東路二段41號,33,1
455,YouBike2.0_捷運善導寺站(1號出口),33,0,中正區,2023-06-03 06:17:12,忠孝東路一段7號,33,1
459,YouBike2.0_信義杭州路口,47,0,中正區,2023-06-03 09:21:04,信義路一段21號前,47,1
460,YouBike2.0_捷運善導寺站(3號出口),20,0,中正區,2023-06-03 09:30:40,林森南路1號南側,20,1
463,YouBike2.0_捷運西門站(2號出口),36,2,中正區,2023-06-03 09:27:13,中華路一段59號旁,34,1
464,YouBike2.0_寶慶博愛路口,27,4,中正區,2023-06-03 09:14:14,博愛路162號,23,1
465,YouBike2.0_法務部,27,5,中正區,2023-06-03 08:48:14,重慶南路一段130號旁,22,1
466,YouBike2.0_臺北市立大學(博愛校區),59,3,中正區,2023-06-03 09:30:40,愛國西路1號(前),56,1
468,YouBike2.0_市民金山路口,30,5,中正區,2023-06-03 09:16:14,金山市民大道口南側,25,1
471,YouBike2.0_中華漢口街口,19,1,中正區,2023-06-03 09:16:14,中華路一段與漢口街一段路口,18,1
480,YouBike2.0_捷運忠孝新生站(2號出口),32,1,中正區,2023-06-03 09:30:28,忠孝東路二段132號(東側),31,1
483,YouBike2.0_捷運中正紀念堂站(5號出口),29,3,中正區,2023-06-03 09:19:14,捷運中正紀念堂站(5號出口)西側,26,1
484,YouBike2.0_北平東杭州北路口,20,4,中正區,2023-06-03 09:12:14,北平東路/杭州北路口(東北側),16,1
485,YouBike2.0_王貫英先生紀念圖書館,15,6,中正區,2023-06-03 09:30:40,汀州路二段265號,9,1
486,YouBike2.0_金山信義路口,25,2,中正區,2023-06-03 09:30:40,金山南路一段148號前側,23,1
488,YouBike2.0_徐州杭州路口,19,2,中正區,2023-06-03 09:23:14,徐州路/杭州南路一段口(西北側),16,1
491,YouBike2.0_臺北市國父史蹟館(逸仙公園),31,1,中正區,2023-06-03 08:57:04,中山北路一段46號北側,30,1
492,YouBike2.0_捷運西門站(5號出口),30,3,中正區,2023-06-03 09:31:14,捷運西門站(5號出口)南側,27,1
497,YouBike2.0_羅斯福寧波東街口,20,4,中正區,2023-06-03 09:22:14,羅斯福路一段/寧波東街(東南側),16,1
498,YouBike2.0_自來水園區,30,4,中正區,2023-06-03 09:24:14,中正區思源街16號對面人行道,26,1
500,YouBike2.0_捷運西門站(3號出口),36,0,中正區,2023-06-03 09:23:04,中華路一段/寶慶路(東南側),36,1
501,YouBike2.0_仁愛金山路口,9,0,中正區,2023-06-03 09:23:04,仁愛路二段31號前,8,1
502,YouBike2.0_杭州南路一段101巷口,14,0,中正區,2023-06-03 08:48:04,金山南路一段72號前,14,1
503,YouBike2.0_仁愛杭州路口,15,0,中正區,2023-06-03 09:30:28,仁愛路一段59號旁,15,1
507,YouBike2.0_林森北平路口,20,0,中正區,2023-06-03 08:43:04,林森北路與北平東路口西北側,20,1
508,YouBike2.0_北平紹興路口,15,0,中正區,2023-06-03 08:40:10,北平東路30號對側人行道,15,1
510,YouBike2.0_捷運忠孝新生站(1號出口),19,3,中正區,2023-06-03 09:31:14,捷運忠孝新生站(1號出口)後方,16,1
511,YouBike2.0_捷運忠孝新生站(5號出口),13,3,中正區,2023-06-03 09:28:13,新生南路一段56號前方,10,1
512,YouBike2.0_捷運臺大醫院站(1號出口),19,5,中正區,2023-06-03 09:22:14,公園路/常德街口(西側),14,1
515,YouBike2.0_仁愛紹興街口(南側),17,1,中正區,2023-06-03 06:25:15,仁愛路一段/紹興南街口(南側),16,1
518,YouBike2.0_捷運善導寺站(3號出口)(忠孝東路側),17,0,中正區,2023-06-03 09:30:28,忠孝東路一段/林森南路口,17,1
519,YouBike2.0_國家音樂廳,22,5,中正區,2023-06-03 09:31:14,信義路一段(國家音樂廳西北側),17,1
522,YouBike2.0_仁愛金山路口(東南側),14,2,中正區,2023-06-03 09:30:40,仁愛路二段48-4號前,12,1
524,YouBike2.0_重慶南詔安街口,15,3,中正區,2023-06-03 09:30:40,重慶南路三段/詔安街,12,1
525,YouBike2.0_文光公園,17,1,中正區,2023-06-03 09:17:16,仁愛路二段65巷4號對側,16,1
526,YouBike2.0_捷運中正紀念堂站(2號出口),12,1,中正區,2023-06-03 09:30:28,羅斯福路一段10號前,11,1
528,YouBike2.0_螢橋公園,15,1,中正區,2023-06-03 07:28:14,和平西路一段110號旁,13,1
529,YouBike2.0_通北街65巷口,16,5,中山區,2023-06-03 09:30:40,通北街/通北街65巷口(東北側),11,1
530,YouBike2.0_圓山風景區,15,6,中山區,2023-06-03 09:30:40,北安路/北安路77巷口(西北側),9,1
531,YouBike2.0_樂群二堤頂大道口,20,1,中山區,2023-06-03 08:56:14,堤頂大道二段382號(旁),19,1
532,YouBike2.0_劍潭社區,13,3,中山區,2023-06-03 08:59:04,通北街146巷2弄2號(對面公園),10,1
534,YouBike2.0_樂群二明水路口,20,3,中山區,2023-06-03 09:27:13,樂群二路/明水路口(東北側),17,1
537,YouBike2.0_樂群二敬業三路口,20,6,中山區,2023-06-03 09:21:21,敬業三路155號(前),14,1
538,YouBike2.0_樂群二敬業四路口,36,5,中山區,2023-06-03 09:27:13,樂群二路186號,31,1
540,YouBike2.0_復興市民路口,45,5,中山區,2023-06-03 09:30:40,復興南路一段36-9號前人行道,40,1
541,YouBike2.0_南京遼寧街口,34,3,中山區,2023-06-03 09:30:40,南京東路三段189號(對面),31,1
542,YouBike2.0_伊通長安路口,21,0,中山區,2023-06-03 09:27:04,伊通街/長安東路二段(西南側路側),21,1
543,YouBike2.0_新生長安路口,20,0,中山區,2023-06-03 08:44:03,新生北路一段/長安東路二段交叉口(北側),19,1
544,YouBike2.0_市民林森路口,29,1,中山區,2023-06-03 09:11:14,市民大道二段/林森北路(東北側),28,1
546,YouBike2.0_一江公園,22,2,中山區,2023-06-03 09:27:13,一江街/松江路132巷口(西北側),20,1
547,YouBike2.0_松江公園,25,5,中山區,2023-06-03 09:11:14,松江路/松江路84巷(西北側路側),20,1
548,YouBike2.0_新生長春路口,20,1,中山區,2023-06-03 09:12:14,新生北路二段/新生北路二段68巷交叉口(新生橋下),19,1
550,YouBike2.0_民生建國路口,26,1,中山區,2023-06-03 09:30:40,民生東路三段 / 建國北路二段口,25,1
551,YouBike2.0_興安華城,62,0,中山區,2023-06-03 09:19:04,興安街53-4號對側,61,1
554,YouBike2.0_建國長春路口,16,1,中山區,2023-06-03 09:21:21,建國北路/長春路口(南側),15,1
555,YouBike2.0_南京建國路口,42,2,中山區,2023-06-03 09:30:40,南京東路二段/建國北路二段(北側),40,1
557,YouBike2.0_朱崙商場,31,0,中山區,2023-06-03 08:56:04,龍江路15號前,31,1
558,YouBike2.0_中吉公園,15,0,中山區,2023-06-03 09:02:04,松江路170巷20號對側,15,1
559,YouBike2.0_華山公園,19,0,中山區,2023-06-03 09:10:09,市民大道與長安東路一段52巷口,19,1
560,YouBike2.0_建國北路一段17巷,45,3,中山區,2023-06-03 09:27:13,建國北路一段17巷/八德路二段137巷口,42,1
563,YouBike2.0_捷運中山國小站(2號出口),59,0,中山區,2023-06-03 09:28:04,捷運中山國小站(2號出口)後方,59,1
564,YouBike2.0_捷運行天宮站(3號出口),42,6,中山區,2023-06-03 09:31:14,松江路261號前,36,1
566,YouBike2.0_捷運中山國小站(4號出口),20,5,中山區,2023-06-03 09:28:13,民權東路一段/民權東路一段71巷口,15,1
567,YouBike2.0_農安雙城街口,15,1,中山區,2023-06-03 09:26:04,農安街12-1號前方,14,1
569,YouBike2.0_民族林森路口,20,4,中山區,2023-06-03 09:31:14,民族東路17號前,16,1
570,YouBike2.0_臺北市立美術館,24,0,中山區,2023-06-03 09:31:14,花博公園5號出入口旁,24,1
571,YouBike2.0_中山民族路口,16,4,中山區,2023-06-03 09:29:14,中山北路三段54號前,12,1
